,Predicted Close
536,3652.3401504142184
537,3635.1862339753407
538,3614.09241073667
539,3595.621908775528
540,3575.66026153252
541,3555.0069417624372
542,3537.349045578753
543,3516.449481633683
544,3496.869239257266
545,3478.727062862774
546,3459.0975716513594
547,3437.8954009756944
548,3426.3974396316307
549,3407.3496318824637
550,3390.8846519242725
551,3372.840973199775
552,3351.7050148467174
553,3339.9854337451657
554,3324.5026944405336
555,3303.4422509678056
556,3283.0094565366558
557,3264.9258315348825
558,3252.6853072009135
559,3236.9798537202378
560,3225.2706695949632
561,3208.846730332603
562,3197.4697022389223
563,3179.5502400204737
564,3167.183310343345
565,3150.970593862196
566,3135.911941747819
567,3121.090778459986
568,3103.8372699325582
569,3092.2977206833857
570,3073.260309910496
571,3061.024710460027
572,3047.094403876369
573,3035.2418509203244
574,3025.040228355249
575,3008.529830027004
576,2994.7970659926136
577,2977.895960240056
578,2963.18478601705
579,2946.9545588390133
580,2935.602155162831
581,2921.869391128441
582,2909.845014459183
583,2893.400281244268
584,2877.8102889211973
585,2863.608019326498
586,2852.405550992419
587,2832.9008234963317
588,2820.954150544514
589,2804.8180433622497
590,2792.0582174236974
591,2775.7185483901103
592,2758.0163282549283
593,2743.748393546899
594,2727.9220068158406
595,2717.943098426809
596,2702.6168609756132
597,2687.105666788538
598,2670.5821354376276
599,2659.3632508252163
600,2645.8953360812566
601,2634.1040705643195
602,2623.402845928659
603,2608.849267977645
604,2594.057106781532
605,2582.7845956599017
606,2569.680027876367
607,2557.2146005292434
608,2541.2853384539685
609,2526.185645643761
610,2517.5769492862123
611,2501.387215594729
612,2489.6495765870113
613,2481.712853222539
614,2465.9389985821444
615,2452.79065405639
616,2443.123654955675
617,2435.125644152095
618,2418.5889797785185
619,2407.7859742171963
620,2398.1802625555893
621,2389.6317592185933
622,2377.986051369538
623,2361.8740213954943
624,2351.549276742925
625,2341.416055337568
626,2330.3832218795915
627,2322.1159841113586
628,2306.4220220255156
629,2295.9965908658405
630,2285.4157522712844
631,2274.3971462545296
632,2265.8453596618674
633,2256.061257775714
634,2240.308197087874
635,2228.8452571375865
636,2218.6102548065683
637,2210.8858486418626
638,2199.3725654380223
639,2190.7824741959175
640,2180.4128583825727
641,2168.4705631049774
642,2155.263119977226
643,2146.5865696692367
644,2137.708646347036
645,2126.9811556660434
646,2116.440810558041
647,2107.754410483052
648,2097.2797304883798
649,2088.1369578757485
650,2077.828629501512
651,2069.2571433748503
652,2058.1619280592104
653,2052.4808013376196
654,2042.1593399407168
655,2032.793305942764
656,2022.168690605988
657,2013.094866362353
658,2005.7961890157362
659,1996.6402833804389
660,1986.5661605770786
661,1977.2154484389027
662,1966.7648456524512
663,1958.2612134762308
664,1946.6997758559485
665,1938.7335031904777
666,1930.3688621708054
667,1921.9560667346914
668,1912.663358779957
669,1905.3460763178964
670,1894.8002591171166
671,1886.0908762524625
672,1875.8383632245561
673,1866.5839599192639
674,1855.7338943600555
675,1845.353334361156
676,1836.6253463810583
677,1831.7551838090917
678,1820.5975866357883
679,1809.875568047573
680,1800.7503061318298
681,1790.6192735635836
682,1781.4677456025083
683,1770.903323286285
684,1765.7639337496657
685,1755.490626769205
686,1746.3609871792396
687,1735.2559220966002
688,1726.6833415513834
689,1719.4153079243204
690,1710.4180929795702
691,1700.0156446095605
692,1691.375210113903
693,1680.559071529915
694,1677.6446349166235
695,1670.7235319716533
696,1663.4762922971447
697,1654.0675759755275
698,1645.816754485627
699,1636.8272004707655
700,1631.6462230290374
701,1626.5998590696354
702,1616.8584395071466
703,1607.2702385424277
704,1601.4588760127326
705,1596.2888427565595
706,1591.5675211081405
707,1583.3856479872366
708,1577.261281750669
709,1572.3670419704815
710,1562.14736149924
711,1561.1054750344058
712,1553.8702739640078
713,1546.1403957065245
714,1542.4762823827168
715,1536.9024086795648
716,1526.9902598224182
717,1522.6311907158693
718,1517.8945472076734
719,1513.543139031013
720,1507.6496951096556
721,1499.4962768711944
722,1495.4578724014063
723,1488.749086656203
724,1483.15113574483
725,1471.3609646464488
726,1468.9685656841298
727,1463.3946919809778
728,1458.6897866108914
729,1452.813853386422
730,1444.8289756055076
731,1442.0338306147655
732,1434.707792804261
733,1427.7319689315161
734,1423.9704523562689
735,1417.5888977591594
736,1414.7620146303077
737,1410.467516218533
738,1407.4447321682474
739,1399.521141826441
740,1399.1928162597915
741,1390.8642910524507
742,1387.9881590886016
743,1380.492486401995
744,1378.937317634632
745,1370.2563896524211
746,1363.3035485693415
747,1360.4230389312704
748,1353.5292964501878
749,1351.062477026095
750,1345.3507065849503
751,1341.7008207023641
752,1335.0358116993805
753,1330.8540383988222
754,1326.233403257509
755,1324.0708321918448
756,1316.3869195136924
757,1315.4413418817421
758,1307.0624734208484
759,1305.2347944331666
760,1300.2420569829842
761,1296.3568711109658
762,1291.7526522479852
763,1291.0379969312448
764,1286.6242068969211
765,1280.7734452992281
766,1278.099780768146
767,1271.8583117461403
768,1269.8609978823563
769,1261.7404122005603
770,1261.0706280445954
771,1256.618533360829
772,1250.9089517567952
773,1245.6634036202927
774,1242.7763274708886
775,1242.6822074751158
776,1235.8990012681386
777,1232.4942651419838
778,1233.4387483553787
779,1227.6295746627948
780,1226.6489756370684
781,1224.6680780516167
782,1217.3310960555573
783,1215.6719575254222
784,1208.3579583190283
785,1207.0413727967639
786,1197.9095443696876
787,1196.9344174367388
788,1197.9609820417961
789,1189.7309545044502
790,1188.8039819879432
791,1190.108528906097
792,1182.3578566960593
793,1178.5153531477054
794,1178.2526926943858
795,1174.408000308921
796,1170.257965146472
797,1162.368301779886
798,1161.9294399391313
799,1159.744980502357
800,1155.5905676656862
801,1154.025549131324
802,1154.3779519061943
803,1144.9768965144654
804,1143.0222649743457
805,1144.323528636833
806,1136.4152601548037
807,1135.3405411333044
808,1132.672348695
809,1125.986545739462
810,1124.5244025493164
811,1125.2664183299441
812,1125.9383913230201
813,1126.6234973387618
814,1126.3958582792184
815,1126.2448285185596
816,1120.8318343430658
817,1118.617825605293
818,1115.2043341306944
819,1109.5429069431027
820,1105.7901457162995
821,1106.3581489466033
822,1102.0789723946054
823,1098.7420902188917
824,1095.9316233683726
825,1090.9531133594116
826,1090.77362871631
827,1087.3240214293799
828,1082.462614205857
829,1079.6225980543395
830,1080.8286473024984
831,1080.6732398676177
832,1081.7764137715599
833,1081.4677877389092
834,1081.2992472813626
835,1081.3211356524725
836,1081.2926807700296
837,1081.3277021638055
838,1081.3123803040287
839,1081.3123803040287
840,1081.3123803040287
841,1081.3123803040287
842,1081.3123803040287
843,1081.3123803040287
844,1081.3123803040287
845,1081.3123803040287
846,1081.3123803040287
847,1081.3112858854731
848,1081.3112858854731
849,1081.3123803040287
850,1081.3112858854731
851,1081.3123803040287
852,1081.3123803040287
853,1081.3123803040287
854,1081.3123803040287
855,1081.3123803040287
856,1081.3112858854731
857,1081.3123803040287
858,1081.3123803040287
859,1081.3123803040287
860,1081.3123803040287
861,1081.3123803040287
862,1081.3112858854731
863,1081.3112858854731
864,1081.3123803040287
865,1081.3112858854731
866,1081.3112858854731
867,1081.3123803040287
868,1081.3123803040287
869,1081.3123803040287
870,1081.3123803040287
871,1081.3123803040287
872,1081.3112858854731
873,1081.3112858854731
874,1081.3123803040287
875,1081.3123803040287
876,1081.3123803040287
877,1081.3123803040287
878,1081.3123803040287
879,1081.3123803040287
880,1081.3123803040287
881,1081.3123803040287
882,1081.3123803040287
883,1081.3123803040287
884,1081.3112858854731
885,1081.3123803040287
886,1081.3123803040287
887,1081.3123803040287
888,1081.3123803040287
889,1081.3123803040287
890,1081.3123803040287
891,1081.3123803040287
892,1081.3123803040287
893,1081.3123803040287
894,1081.3123803040287
895,1081.3123803040287
896,1081.3123803040287
897,1081.3123803040287
898,1081.3123803040287
899,1081.3123803040287
900,1081.3123803040287
901,1081.3123803040287
902,1081.3123803040287
903,1081.3123803040287
904,1081.3123803040287
905,1081.3123803040287
906,1081.3123803040287
907,1081.3123803040287
908,1081.3123803040287
909,1081.3123803040287
910,1081.3123803040287
911,1081.3123803040287
912,1081.3123803040287
913,1081.3123803040287
914,1081.3123803040287
915,1081.3123803040287
916,1081.3123803040287
917,1081.3123803040287
918,1081.3123803040287
919,1081.3123803040287
920,1081.3123803040287
921,1081.3123803040287
922,1081.3123803040287
923,1081.3123803040287
924,1081.3123803040287
925,1081.3123803040287
926,1081.3123803040287
927,1081.3123803040287
928,1081.3123803040287
929,1081.3123803040287
930,1081.3123803040287
931,1081.3123803040287
932,1081.3123803040287
933,1081.3123803040287
934,1081.3123803040287
935,1081.3123803040287
936,1081.3123803040287
937,1081.3123803040287
938,1081.3123803040287
939,1081.3123803040287
940,1081.3123803040287
941,1081.3123803040287
942,1081.3123803040287
943,1081.3123803040287
944,1081.3123803040287
945,1081.3123803040287
946,1081.3123803040287
947,1081.3123803040287
948,1081.3123803040287
949,1081.3123803040287
950,1081.3123803040287
951,1081.3123803040287
952,1081.3123803040287
953,1081.3123803040287
954,1081.3123803040287
955,1081.3123803040287
956,1081.3123803040287
957,1081.3123803040287
958,1081.3123803040287
959,1081.3123803040287
960,1081.3123803040287
961,1081.3123803040287
962,1081.3123803040287
963,1081.3123803040287
964,1081.3123803040287
965,1081.3123803040287
966,1081.3123803040287
967,1081.3123803040287
968,1081.3123803040287
969,1081.3123803040287
970,1081.3123803040287
971,1081.3123803040287
972,1081.3123803040287
973,1081.3123803040287
974,1081.3123803040287
975,1081.3123803040287
976,1081.3123803040287
977,1081.3123803040287
978,1081.3123803040287
979,1081.3123803040287
980,1081.3123803040287
981,1081.3123803040287
982,1081.3123803040287
983,1081.3123803040287
984,1081.3123803040287
985,1081.3123803040287
986,1081.3123803040287
987,1081.3123803040287
988,1081.3123803040287
989,1081.3123803040287
990,1081.3123803040287
991,1081.3123803040287
992,1081.3123803040287
993,1081.3123803040287
994,1081.3123803040287
995,1081.3123803040287
996,1081.3123803040287
997,1081.3123803040287
998,1081.3123803040287
999,1081.3123803040287
1000,1081.3123803040287
1001,1081.3123803040287
1002,1081.3123803040287
1003,1081.3123803040287
1004,1081.3123803040287
1005,1081.3123803040287
1006,1081.3123803040287
1007,1081.3123803040287
1008,1081.3123803040287
1009,1081.3123803040287
1010,1081.3123803040287
1011,1081.3123803040287
1012,1081.3123803040287
1013,1081.3123803040287
1014,1081.3123803040287
1015,1081.3123803040287
1016,1081.3123803040287
1017,1081.3123803040287
1018,1081.3123803040287
1019,1081.3123803040287
1020,1081.3123803040287
1021,1081.3123803040287
1022,1081.3123803040287
1023,1081.3123803040287
1024,1081.3123803040287
